caseid,policy_gun,policy_cappun,policy_pot,policy_prostitute,policy_healthcare,policy_taxcut,policy_affect,policy_nuke,policy_warming,policy_draft,pk_house,pk_senate,pk_ag,pk_senleader,pk_justice,pk_override,pk_nominate,pk_term,pk_conservparty,birthyr,gender,pid7,pid3_t,pid3,race,race_other,educ,marstat,employ,employ_t,pew_bornagain,pew_religimp,pew_churatd,pew_prayer,religpew,religpew_t,religpew_protestant,ideo5,newsint,faminc,votereg,inputstate
152372104,5,4,1,1,5,6,4,3,6,3,2,1,4,2,2,2,1,1,2,1952,2,3,__NA__,3,1,__NA__,6,1,1,__NA__,1,1,3,1,1,__NA__,8,3,2,11,1,41
152373832,2,6,1,3,5,6,4,4,4,2,1,2,5,5,4,2,1,4,2,1966,2,3,__NA__,3,1,__NA__,2,6,2,__NA__,2,3,6,4,2,__NA__,99,3,3,5,1,29
152401115,4,5,1,1,5,4,3,1,4,1,2,2,2,4,1,2,2,4,2,1991,1,,Still in the process of deciding what is correct,4,3,__NA__,3,5,8,__NA__,2,2,3,3,2,__NA__,99,3,3,3,3,48
152402894,6,3,6,4,6,6,5,2,6,4,2,1,4,2,5,2,1,4,2,1960,1,3,__NA__,3,6,__NA__,5,5,1,__NA__,2,3,5,6,1,__NA__,2,3,1,12,1,6
152403118,6,6,1,1,1,6,6,6,5,1,3,3,2,1,8,2,2,2,2,1946,2,4,__NA__,3,1,__NA__,3,2,6,__NA__,2,1,2,1,5,__NA__,99,3,1,2,1,24
152405047,5,4,6,6,6,6,6,5,6,5,2,1,4,2,5,2,1,4,2,1958,1,3,__NA__,3,1,__NA__,3,6,2,__NA__,2,4,5,7,11,__NA__,99,2,1,4,1,53
152410294,6,4,1,1,6,6,5,5,5,5,2,1,4,1,5,2,1,4,2,1933,1,3,__NA__,3,1,__NA__,2,1,5,__NA__,1,1,1,1,1,__NA__,11,3,1,97,1,16
152413484,4,6,4,4,2,6,3,4,4,3,3,3,2,4,5,2,3,1,3,1975,2,4,__NA__,3,1,__NA__,2,1,7,__NA__,2,2,6,5,11,__NA__,99,2,4,3,2,39
152432731,3,1,4,3,5,6,3,3,4,1,2,1,4,2,4,3,1,1,2,1989,2,4,__NA__,3,6,__NA__,5,6,1,__NA__,2,2,4,6,1,__NA__,1,2,2,3,1,17
152438343,6,4,6,6,5,3,4,2,6,1,2,1,4,2,4,2,1,4,2,1953,1,5,__NA__,3,1,__NA__,3,1,1,__NA__,1,2,5,3,1,__NA__,90,3,1,10,1,12
152449815,6,1,6,6,6,6,5,2,6,2,2,1,4,2,1,2,1,8,1,1949,1,4,__NA__,3,3,__NA__,3,3,5,__NA__,2,3,6,5,11,__NA__,99,4,1,2,1,12
152454786,6,4,1,6,6,6,4,5,5,5,2,1,4,2,2,2,1,3,2,1961,1,3,__NA__,3,1,__NA__,2,2,6,__NA__,2,3,6,1,12,__NA__,3,3,2,1,1,39
152460527,6,6,5,6,1,6,3,5,5,5,1,2,8,8,8,2,1,2,2,1948,2,4,__NA__,3,1,__NA__,5,5,2,__NA__,2,3,6,7,12,__NA__,99,2,3,5,1,44
152462175,4,4,6,3,6,6,2,3,5,4,2,1,4,2,5,2,1,1,2,1957,1,4,__NA__,4,1,__NA__,6,5,1,__NA__,2,3,5,5,11,__NA__,99,3,1,9,1,36
152477878,5,1,5,5,6,6,3,6,5,1,2,1,4,2,5,2,1,4,2,1975,1,4,__NA__,3,1,__NA__,5,1,1,__NA__,2,4,6,7,9,__NA__,99,2,1,12,1,51
152496297,5,5,5,5,5,5,3,4,5,4,2,1,4,2,5,2,1,4,2,1957,1,3,__NA__,3,1,__NA__,5,1,1,__NA__,2,3,5,2,2,__NA__,99,3,1,97,1,26
